vuelo_id,codigo_aerolinea,aeropuerto_origen,aeropuerto_destino,estado_vuelo,retraso_salida_min,retraso_llegada_min,pasajeros_a_bordo,capacidad_asientos,load_factor,fecha_vuelo,hora_salida_programada,tipo_operacion,distancia_km,mes_anio
AFR5102,AFR,MAD,CDG,A tiempo,0.0,0.0,176,180,0.98,2026-01-27,06:30,1053,1053,2026-01
BEL1659,BEL,MAD,BRU,Retrasado,25.1,24.0,288,300,0.96,2026-01-06,19:45,1311,1311,2026-01
IBB8700,IBB,MAD,LCG,Retrasado,43.3,43.3,123,162,0.76,2026-01-23,21:30,598,598,2026-01
AEA1601,AEA,MAD,BCN,Retrasado,41.2,37.0,233,248,0.94,2026-01-27,06:45,620,620,2026-01
TAP1888,TAP,MAD,LIS,A tiempo,0.0,0.0,175,204,0.86,2026-01-16,20:00,624,624,2026-01
DLH5375,DLH,MAD,FRA,Retrasado,111.7,104.0,206,300,0.69,2026-01-21,13:15,1858,1858,2026-01
KLM1224,KLM,MAD,AMS,Retrasado,15.7,17.2,117,145,0.81,2026-01-04,10:45,1459,1459,2026-01
KLM9337,KLM,MAD,AMS,Retrasado,52.8,49.9,219,300,0.73,2026-01-18,10:45,1459,1459,2026-01
DLH9327,DLH,MAD,FRA,Retrasado,20.7,17.0,190,248,0.77,2026-01-26,22:30,1858,1858,2026-01
IBE5634,IBE,MAD,BCN,Retrasado,101.3,98.7,282,300,0.94,2026-01-15,21:30,620,620,2026-01
AFR9903,AFR,MAD,CDG,Retrasado,112.3,119.1,151,180,0.84,2026-01-08,19:00,1053,1053,2026-01
AFR8749,AFR,MAD,CDG,Retrasado,98.3,90.0,132,162,0.82,2026-01-02,10:30,1053,1053,2026-01
RYR8213,RYR,BCN,STN,A tiempo,0.0,0.0,198,300,0.66,2026-01-05,19:15,1141,1141,2026-01
IBB8692,IBB,MAD,LCG,Retrasado,35.5,35.0,215,248,0.87,2026-01-28,16:45,598,598,2026-01
AFR8994,AFR,MAD,CDG,Retrasado,9.1,7.5,187,189,0.99,2026-01-24,08:45,1053,1053,2026-01
RYR2646,RYR,BCN,STN,Retrasado,84.8,90.8,98,130,0.76,2026-01-02,15:30,1141,1141,2026-01
IBE8056,IBE,MAD,GRU,A tiempo,0.0,0.0,208,248,0.84,2026-01-26,11:15,9354,9354,2026-01
TUI2293,TUI,PMI,BHX,Retrasado,49.0,49.2,288,300,0.96,2026-01-05,13:45,1593,1593,2026-01
BAW8529,BAW,MAD,LHR,Retrasado,6.1,6.4,166,189,0.88,2026-01-06,08:45,1246,1246,2026-01
IBE5901,IBE,MAD,GRU,Retrasado,53.8,47.1,136,189,0.72,2026-01-13,21:00,9354,9354,2026-01
SWR7248,SWR,MAD,ZRH,Retrasado,71.1,78.1,124,189,0.66,2026-01-27,18:30,1782,1782,2026-01
IBE1803,IBE,MAD,BCN,Retrasado,90.7,95.2,171,189,0.91,2026-01-08,17:15,620,620,2026-01
DLH5106,DLH,MAD,FRA,Retrasado,87.9,87.7,139,162,0.86,2026-01-29,07:30,1858,1858,2026-01
DAL1546,DAL,MAD,JFK,Retrasado,89.2,73.8,143,189,0.76,2026-01-14,11:15,5769,5769,2026-01
EZY9837,EZY,AGP,LGW,Retrasado,47.1,44.8,175,189,0.93,2026-01-09,21:30,1736,1736,2026-01
AFR2886,AFR,MAD,CDG,Retrasado,13.7,14.1,169,180,0.94,2026-01-24,18:30,1053,1053,2026-01
IBB7464,IBB,MAD,LCG,A tiempo,0.0,0.0,116,145,0.8,2026-01-22,14:45,598,598,2026-01
IBE2775,IBE,MAD,GRU,Retrasado,59.2,58.4,195,204,0.96,2026-01-08,08:45,9354,9354,2026-01
KLM7689,KLM,MAD,AMS,A tiempo,0.0,0.0,126,130,0.97,2026-01-10,21:00,1459,1459,2026-01
RYR4846,RYR,BCN,STN,Retrasado,20.6,19.3,210,248,0.85,2026-01-24,10:45,1141,1141,2026-01
RYR9017,RYR,BCN,STN,Retrasado,113.0,99.9,146,204,0.72,2026-01-15,13:30,1141,1141,2026-01
RYR7018,RYR,BCN,STN,Retrasado,117.5,106.6,183,248,0.74,2026-01-31,09:45,1141,1141,2026-01
IBB4475,IBB,MAD,LCG,Retrasado,73.7,59.4,148,204,0.73,2026-01-05,12:00,598,598,2026-01
CNF4394,CNF,ACE,PMI,Retrasado,98.5,85.7,149,162,0.92,2026-01-20,06:30,1760,1760,2026-01
EZY3129,EZY,AGP,LGW,Retrasado,96.8,80.6,89,130,0.69,2026-01-12,13:30,1736,1736,2026-01
IBE3854,IBE,MAD,BCN,Retrasado,19.6,18.2,130,145,0.9,2026-01-16,20:30,620,620,2026-01
LDM2786,LDM,AGP,MAN,Retrasado,30.5,30.0,153,189,0.81,2026-01-31,06:00,1823,1823,2026-01
UAL7580,UAL,MAD,EWR,Retrasado,17.4,17.6,201,300,0.67,2026-01-03,16:15,5740,5740,2026-01
IBB3067,IBB,MAD,LCG,Retrasado,77.8,75.0,159,204,0.78,2026-01-20,22:30,598,598,2026-01
DAL9282,DAL,MAD,JFK,Retrasado,16.4,16.6,144,180,0.8,2026-01-29,13:45,5769,5769,2026-01
AFR8430,AFR,MAD,CDG,Retrasado,88.9,79.5,179,204,0.88,2026-01-12,10:45,1053,1053,2026-01
IBB2494,IBB,MAD,LCG,Retrasado,15.7,13.0,189,204,0.93,2026-01-18,07:30,598,598,2026-01
RYR7730,RYR,BCN,STN,Retrasado,81.5,83.5,127,130,0.98,2026-01-20,15:30,1141,1141,2026-01
RYR9313,RYR,BCN,STN,A tiempo,0.0,0.0,219,300,0.73,2026-01-04,17:30,1141,1141,2026-01
RYR5564,RYR,BCN,STN,Retrasado,97.8,103.0,111,130,0.86,2026-01-22,14:00,1141,1141,2026-01
TUI5477,TUI,PMI,BHX,Retrasado,40.5,36.5,92,130,0.71,2026-01-05,18:00,1593,1593,2026-01
EZY1502,EZY,AGP,LGW,A tiempo,0.0,0.0,140,180,0.78,2026-01-15,16:15,1736,1736,2026-01
IBE6105,IBE,MAD,GRU,Retrasado,94.3,91.5,137,145,0.95,2026-01-05,11:00,9354,9354,2026-01
IBB5458,IBB,MAD,LCG,Retrasado,53.8,52.8,183,248,0.74,2026-01-25,22:00,598,598,2026-01
IBE8043,IBE,MAD,GRU,A tiempo,0.0,0.0,249,300,0.83,2026-01-10,07:15,9354,9354,2026-01
AEA1897,AEA,MAD,BCN,A tiempo,0.0,0.0,183,189,0.97,2026-01-25,10:30,620,620,2026-01
KLM6375,KLM,MAD,AMS,A tiempo,0.0,0.0,270,300,0.9,2026-01-06,10:45,1459,1459,2026-01
CNF4770,CNF,ACE,PMI,Retrasado,100.8,105.0,114,145,0.79,2026-01-24,07:45,1760,1760,2026-01
IBE8532,IBE,MAD,BCN,Retrasado,104.1,101.3,220,248,0.89,2026-01-14,15:00,620,620,2026-01
AEA1341,AEA,MAD,BCN,Retrasado,24.8,26.9,279,300,0.93,2026-01-30,17:00,620,620,2026-01
TAP2734,TAP,MAD,LIS,A tiempo,0.0,0.0,205,248,0.83,2026-01-13,15:30,624,624,2026-01
SWR6456,SWR,MAD,ZRH,Retrasado,13.8,13.7,172,180,0.96,2026-01-12,17:15,1782,1782,2026-01
SWR2684,SWR,MAD,ZRH,A tiempo,0.0,0.0,127,180,0.71,2026-01-05,08:15,1782,1782,2026-01
UAL8601,UAL,MAD,EWR,Retrasado,92.4,86.4,191,204,0.94,2026-01-21,16:15,5740,5740,2026-01
DAL2118,DAL,MAD,JFK,Retrasado,77.6,80.6,100,130,0.77,2026-01-03,15:45,5769,5769,2026-01
DAL1616,DAL,MAD,JFK,A tiempo,0.0,0.0,128,189,0.68,2026-01-28,08:45,5769,5769,2026-01
DAL1672,DAL,MAD,JFK,Retrasado,98.1,97.7,175,204,0.86,2026-01-17,10:00,5769,5769,2026-01
DAL2695,DAL,MAD,JFK,Retrasado,101.3,110.9,118,145,0.82,2026-01-06,07:15,5769,5769,2026-01
DAL8199,DAL,MAD,JFK,Retrasado,75.1,68.3,147,189,0.78,2026-01-25,16:00,5769,5769,2026-01
AFR2079,AFR,MAD,CDG,Retrasado,69.2,63.4,170,189,0.9,2026-01-22,10:30,1053,1053,2026-01
IBB3317,IBB,MAD,LCG,Retrasado,40.7,40.6,171,248,0.69,2026-01-23,08:30,598,598,2026-01
CNF7171,CNF,ACE,PMI,Retrasado,42.8,35.9,126,145,0.87,2026-01-14,22:30,1760,1760,2026-01
IBE6940,IBE,MAD,BCN,Retrasado,114.4,103.2,216,300,0.72,2026-01-05,10:00,620,620,2026-01
KLM2657,KLM,MAD,AMS,Retrasado,67.1,68.5,114,130,0.88,2026-01-29,10:45,1459,1459,2026-01
EZY3658,EZY,AGP,LGW,A tiempo,0.0,0.0,145,162,0.9,2026-01-02,19:30,1736,1736,2026-01
SWR8277,SWR,MAD,ZRH,Retrasado,91.5,94.7,149,180,0.83,2026-01-10,21:15,1782,1782,2026-01
IBE8218,IBE,MAD,GRU,Retrasado,37.4,34.2,243,248,0.98,2026-01-27,12:15,9354,9354,2026-01
BAW1854,BAW,MAD,LHR,Retrasado,105.5,102.0,129,145,0.89,2026-01-17,09:30,1246,1246,2026-01
IBB3626,IBB,MAD,LCG,Retrasado,109.1,92.1,168,248,0.68,2026-01-30,13:45,598,598,2026-01
IBE1436,IBE,MAD,GRU,Retrasado,50.6,46.2,245,248,0.99,2026-01-12,13:00,9354,9354,2026-01
AFR2623,AFR,MAD,CDG,Retrasado,79.7,82.7,106,162,0.66,2026-01-30,21:15,1053,1053,2026-01
UAL8349,UAL,MAD,EWR,Retrasado,109.2,88.0,167,180,0.93,2026-01-18,22:45,5740,5740,2026-01
RYR5720,RYR,BCN,STN,A tiempo,0.0,0.0,97,145,0.67,2026-01-14,20:00,1141,1141,2026-01
RYR9189,RYR,BCN,STN,Retrasado,6.9,6.6,160,180,0.89,2026-01-10,19:00,1141,1141,2026-01
RYR6780,RYR,BCN,DUB,A tiempo,0.0,0.0,176,248,0.71,2026-01-22,08:30,1469,1469,2026-01
IBB9618,IBB,MAD,LCG,Retrasado,95.4,90.8,101,130,0.78,2026-01-16,07:45,598,598,2026-01
IBE5155,IBE,MAD,GRU,Retrasado,46.1,37.8,162,180,0.9,2026-01-21,09:30,9354,9354,2026-01
EZY1726,EZY,AGP,LGW,Retrasado,43.9,43.6,294,300,0.98,2026-01-16,11:15,1736,1736,2026-01
IBB8498,IBB,MAD,LCG,A tiempo,0.0,0.0,118,180,0.66,2026-01-07,07:30,598,598,2026-01
KLM9444,KLM,MAD,AMS,Retrasado,98.8,93.1,118,130,0.91,2026-01-07,15:30,1459,1459,2026-01
VLG6438,VLG,BCN,SVQ,Retrasado,96.9,90.2,223,248,0.9,2026-01-29,18:30,845,845,2026-01
TUI9129,TUI,PMI,BHX,Retrasado,47.2,49.0,173,189,0.92,2026-01-24,19:00,1593,1593,2026-01
TAP3956,TAP,MAD,LIS,Retrasado,41.9,34.5,141,189,0.75,2026-01-20,19:15,624,624,2026-01
DAL6759,DAL,MAD,JFK,Retrasado,88.6,95.1,183,248,0.74,2026-01-26,07:00,5769,5769,2026-01
AEA6952,AEA,MAD,BCN,Retrasado,91.2,77.3,91,130,0.7,2026-01-20,20:00,620,620,2026-01
EZY2101,EZY,AGP,LGW,A tiempo,0.0,0.0,157,204,0.77,2026-01-31,07:15,1736,1736,2026-01
DAL7077,DAL,MAD,JFK,Retrasado,92.8,90.2,161,204,0.79,2026-01-21,14:15,5769,5769,2026-01
RYR1424,RYR,BCN,STN,Retrasado,62.4,57.2,107,145,0.74,2026-01-09,20:15,1141,1141,2026-01
RYR5678,RYR,BCN,DUB,Retrasado,119.8,103.0,152,162,0.94,2026-01-15,11:45,1469,1469,2026-01
IBB6236,IBB,MAD,LCG,Retrasado,86.6,83.6,179,189,0.95,2026-01-28,11:15,598,598,2026-01
IBE9335,IBE,MAD,GRU,A tiempo,0.0,0.0,165,180,0.92,2026-01-08,21:00,9354,9354,2026-01
IBE7044,IBE,MAD,GRU,Retrasado,118.0,99.0,97,145,0.67,2026-01-13,21:45,9354,9354,2026-01
TAP2208,TAP,MAD,LIS,A tiempo,0.0,0.0,177,204,0.87,2026-01-15,20:30,624,624,2026-01
EZY3981,EZY,AGP,LGW,Retrasado,19.8,18.8,120,130,0.93,2026-01-17,10:30,1736,1736,2026-01
TUI3653,TUI,PMI,BHX,Retrasado,86.6,78.3,177,189,0.94,2026-01-09,12:30,1593,1593,2026-01
EZY5961,EZY,AGP,LGW,Retrasado,15.7,15.6,115,162,0.71,2026-01-20,16:00,1736,1736,2026-01
IBE2330,IBE,MAD,BCN,A tiempo,0.0,0.0,164,189,0.87,2026-01-25,19:00,620,620,2026-01
UAL9938,UAL,MAD,EWR,Retrasado,115.0,108.7,186,248,0.75,2026-01-03,07:15,5740,5740,2026-01
DAL7809,DAL,MAD,JFK,Retrasado,28.5,28.0,191,204,0.94,2026-01-11,17:45,5769,5769,2026-01
EZY7070,EZY,AGP,LGW,Retrasado,17.2,15.0,107,145,0.74,2026-01-08,10:00,1736,1736,2026-01
VLG5754,VLG,BCN,SVQ,Retrasado,104.4,96.6,150,162,0.93,2026-01-30,16:15,845,845,2026-01
TUI9163,TUI,PMI,BHX,Retrasado,58.7,62.4,198,300,0.66,2026-01-31,18:45,1593,1593,2026-01
SWR4524,SWR,MAD,ZRH,Retrasado,10.6,9.4,225,300,0.75,2026-01-01,09:45,1782,1782,2026-01
EZY5333,EZY,AGP,LGW,Retrasado,92.8,84.4,166,248,0.67,2026-01-18,12:30,1736,1736,2026-01
CNF5728,CNF,ACE,PMI,A tiempo,0.0,0.0,273,300,0.91,2026-01-09,09:15,1760,1760,2026-01
RYR7453,RYR,BCN,STN,Retrasado,118.5,114.6,185,204,0.91,2026-01-07,22:45,1141,1141,2026-01
LDM1659,LDM,AGP,MAN,A tiempo,0.0,0.0,144,162,0.89,2026-01-26,21:45,1823,1823,2026-01
EZY9446,EZY,AGP,LGW,A tiempo,0.0,0.0,144,204,0.71,2026-01-20,15:30,1736,1736,2026-01
LDM9351,LDM,AGP,MAN,Retrasado,86.5,77.0,101,130,0.78,2026-01-22,09:45,1823,1823,2026-01
BEL6040,BEL,MAD,BRU,Retrasado,88.4,89.0,110,130,0.85,2026-01-09,13:00,1311,1311,2026-01
BEL8871,BEL,MAD,BRU,A tiempo,0.0,0.0,173,248,0.7,2026-01-22,13:00,1311,1311,2026-01
BEL2800,BEL,MAD,BRU,A tiempo,0.0,0.0,228,300,0.76,2026-01-05,19:15,1311,1311,2026-01
TAP9221,TAP,MAD,LIS,Retrasado,110.9,117.8,115,130,0.89,2026-01-17,12:30,624,624,2026-01
UAL9609,UAL,MAD,EWR,Retrasado,115.0,107.9,171,204,0.84,2026-01-22,14:45,5740,5740,2026-01
DLH5038,DLH,MAD,FRA,Retrasado,39.3,42.5,171,189,0.91,2026-01-23,12:45,1858,1858,2026-01
AFR8861,AFR,MAD,CDG,Retrasado,112.4,116.7,141,189,0.75,2026-01-19,18:45,1053,1053,2026-01
IBE3399,IBE,MAD,GRU,Retrasado,38.1,38.6,195,204,0.96,2026-01-21,14:45,9354,9354,2026-01
DLH4310,DLH,MAD,FRA,Retrasado,36.2,35.1,132,189,0.7,2026-01-20,13:15,1858,1858,2026-01
VLG9700,VLG,BCN,SVQ,A tiempo,0.0,0.0,120,180,0.67,2026-01-14,16:45,845,845,2026-01
RYR3252,RYR,BCN,STN,A tiempo,0.0,0.0,127,162,0.79,2026-01-30,21:45,1141,1141,2026-01
DLH5706,DLH,MAD,FRA,Retrasado,79.3,85.0,126,145,0.87,2026-01-08,07:15,1858,1858,2026-01
TAP3880,TAP,MAD,LIS,Retrasado,9.2,9.7,213,300,0.71,2026-01-24,15:00,624,624,2026-01
IBE5888,IBE,MAD,BCN,Retrasado,17.3,18.9,151,189,0.8,2026-01-21,22:45,620,620,2026-01
EZY9261,EZY,AGP,LGW,Retrasado,27.2,22.7,145,162,0.9,2026-01-21,14:15,1736,1736,2026-01
IBE6523,IBE,MAD,BCN,Retrasado,70.3,72.2,139,162,0.86,2026-01-21,18:45,620,620,2026-01
LDM6372,LDM,AGP,MAN,A tiempo,0.0,0.0,102,145,0.71,2026-01-05,21:30,1823,1823,2026-01
SWR1111,SWR,MAD,ZRH,Retrasado,32.1,32.9,153,204,0.75,2026-01-24,06:30,1782,1782,2026-01
IBE4871,IBE,MAD,GRU,A tiempo,0.0,0.0,117,145,0.81,2026-01-06,18:30,9354,9354,2026-01
RYR5833,RYR,BCN,STN,Retrasado,30.4,33.1,210,300,0.7,2026-01-24,17:45,1141,1141,2026-01
CNF8714,CNF,ACE,PMI,Retrasado,97.2,101.8,158,180,0.88,2026-01-20,08:45,1760,1760,2026-01
LDM6927,LDM,AGP,MAN,A tiempo,0.0,0.0,97,145,0.67,2026-01-18,22:15,1823,1823,2026-01
BEL9792,BEL,MAD,BRU,A tiempo,0.0,0.0,191,204,0.94,2026-01-15,09:15,1311,1311,2026-01
BEL9008,BEL,MAD,BRU,A tiempo,0.0,0.0,276,300,0.92,2026-01-15,10:45,1311,1311,2026-01
DAL1945,DAL,MAD,JFK,Retrasado,82.4,73.5,101,130,0.78,2026-01-27,06:15,5769,5769,2026-01
BEL2196,BEL,MAD,BRU,A tiempo,0.0,0.0,181,204,0.89,2026-01-18,07:00,1311,1311,2026-01
