airport_id,iata_code,icao_code,nombre,ciudad,pais,pais_iso,latitud,longitud,altitud_ft,zona_horaria,tipo_aeropuerto,red_operadora,_source,_ingestion_timestamp,capacidad_anual_estimada,numero_terminales,tiene_aduana,tiene_cargo,anio_apertura
58,BOG,SKBO,El Dorado,Bogotá,Colombia,CO,4.7016,-74.1469,8361,America/Bogota,large_airport,OpenFlights,openflights_aena_catalogo,2026-01-31 23:59:00,44153654,4,True,True,1966
59,MEX,MMMX,Benito Juárez,Ciudad de México,Mexico,MX,19.4363,-99.0721,7316,America/Mexico_City,large_airport,OpenFlights,openflights_aena_catalogo,2026-01-31 23:59:00,38103719,4,True,True,1974
60,CUN,MMUN,Cancún,Cancún,Mexico,MX,21.0365,-86.8771,22,America/Cancun,large_airport,OpenFlights,openflights_aena_catalogo,2026-01-31 23:59:00,26860634,4,True,True,1942
61,DXB,OMDB,Dubai,Dubai,UAE,AE,25.2528,55.3644,62,Asia/Dubai,large_airport,OpenFlights,openflights_aena_catalogo,2026-01-31 23:59:00,28892394,4,True,True,1963
62,DOH,OTHH,Hamad,Doha,Qatar,QA,25.2731,51.608,13,Asia/Qatar,large_airport,OpenFlights,openflights_aena_catalogo,2026-01-31 23:59:00,25858418,4,True,True,1984
63,NRT,RJAA,Narita,Tokyo,Japan,JP,35.7647,140.3864,141,Asia/Tokyo,large_airport,OpenFlights,openflights_aena_catalogo,2026-01-31 23:59:00,32575649,4,True,True,1974
64,SIN,WSSS,Changi,Singapore,Singapore,SG,1.3502,103.9942,22,Asia/Singapore,large_airport,OpenFlights,openflights_aena_catalogo,2026-01-31 23:59:00,48922545,4,True,True,1978
65,LTN,EGGW,Londres-Luton,Luton,United Kingdom,GB,51.8747,-0.3683,526,Europe/London,large_airport,AENA,openflights_aena_catalogo,2026-01-31 23:59:00,50121389,3,True,True,1980
66,CGH,SBSP,São Paulo/Congonhas,São Paulo,Brazil,BR,-23.6261,-46.6564,2631,America/Sao_Paulo,large_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,57378632,4,True,True,1945
67,CGR,SBCG,Campo Grande,Campo Grande,Brazil,BR,-20.4688,-54.6725,1833,America/Campo_Grande,medium_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,19194661,1,True,True,1946
68,UDI,SBUL,Uberlândia,Uberlândia,Brazil,BR,-18.8836,-48.2253,3094,America/Sao_Paulo,medium_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,15691690,1,True,True,1955
69,STM,SBSN,Santarém,Santarém,Brazil,BR,-2.4247,-54.7858,198,America/Santarem,medium_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,5465935,1,True,True,1982
70,REC,SBRF,Recife,Recife,Brazil,BR,-8.1265,-34.9237,33,America/Recife,large_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,21762406,4,True,True,1982
71,MCZ,SBMO,Maceió,Maceió,Brazil,BR,-9.5108,-35.7917,387,America/Maceio,medium_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,5007109,1,True,True,1962
72,JPA,SBJP,João Pessoa,João Pessoa,Brazil,BR,-7.1459,-34.9502,217,America/Fortaleza,medium_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,13875392,1,True,True,1950
73,AJU,SBAR,Aracaju,Aracaju,Brazil,BR,-10.984,-37.0703,23,America/Maceio,medium_airport,AENA Brasil,openflights_aena_catalogo,2026-01-31 23:59:00,5122718,1,True,True,1981
